molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail
-1.0,92,가동,714.0,119,119,110.0,112.0,331.0,55.0,138.0,166.0,222.0,71.0,481.0,715.0,32.0,A,23,8917,0.0
-1.0,117,가동,711.0,120,119,110.0,115.0,332.0,50.0,211.0,205.0,183.0,268.0,477.0,709.0,32.0,A,3,8917,0.0
67.0,199,가동,728.0,116,118,110.0,112.0,329.0,44.0,241.0,181.0,256.0,180.0,599.0,698.0,32.0,A,23,8722,0.0
-1.0,43,가동,731.0,120,120,110.0,112.0,331.0,51.0,215.0,163.0,202.0,184.0,477.0,703.0,30.0,A,23,8573,0.0
80.0,35,가동,731.0,127,130,100.0,101.0,324.0,49.0,182.0,154.0,277.0,278.0,430.0,694.0,31.0,A,23,8722,0.0
-1.0,175,가동,707.6027529582226,117,120,140.0,144.0,333.0,51.0,174.0,149.0,171.0,166.0,506.0,689.0,33.0,A,23,8412,0.0
24.0,139,가동,728.0,119,82,110.0,112.0,331.0,49.0,240.0,181.0,254.0,180.0,600.0,704.0,32.0,A,23,8722,0.0
27.0,243,가동,709.0,117,120,110.0,111.0,333.0,54.0,164.0,160.0,160.0,145.0,476.0,717.0,32.0,A,23,8412,0.0
-1.0,245,가동,730.0,114,116,100.0,103.0,332.0,50.0,138.0,153.0,212.0,190.0,487.0,713.0,33.0,A,3,8412,0.0
74.0,92,가동,729.0,119,122,110.0,111.0,330.0,45.0,180.0,121.0,248.0,302.0,496.0,703.0,38.0,A,23,8722,0.0
47.0,118,가동,731.0,117,119,109.0,111.0,330.0,48.0,236.0,178.0,250.0,177.0,564.0,703.0,31.0,A,23,8722,0.0
85.0,31,가동,731.0,120,132,100.0,101.0,325.0,50.0,179.0,147.0,273.0,268.0,421.0,697.0,31.0,A,23,8722,0.0
-1.0,160,가동,710.0,115,118,110.0,112.0,331.0,52.0,102.0,189.0,258.0,148.0,482.0,712.0,34.0,A,23,8917,0.0
-1.0,275,가동,709.0,120,123,110.0,112.0,331.0,53.0,224.0,186.0,162.0,204.0,572.0,708.0,30.0,A,23,8573,0.0
37.0,33,가동,729.0,123,121,105.0,107.0,325.0,54.0,197.0,170.0,206.0,249.0,470.0,678.0,29.0,A,23,8722,0.0
-1.0,73,가동,709.0,116,119,110.0,112.0,333.0,49.0,164.0,159.0,163.0,144.0,475.0,691.0,37.0,A,23,8412,0.0
-1.0,210,가동,708.0,121,121,110.0,112.0,331.0,56.0,102.0,185.0,252.0,150.0,483.0,707.0,34.0,A,23,8917,0.0
-1.0,153,가동,732.0,115,119,110.0,112.0,331.0,51.0,226.0,163.0,136.0,220.0,193.0,716.0,35.0,A,6,8412,0.0
59.0,104,가동,729.0,123,125,105.0,108.0,324.0,48.0,117.0,177.0,205.0,197.0,317.0,662.0,34.0,A,23,8722,0.0
39.0,161,가동,729.0,118,81,110.0,112.0,330.0,54.0,186.0,183.0,260.0,183.0,439.0,704.0,33.0,A,23,8917,0.0
62.0,215,가동,718.0,118,121,110.0,113.0,330.0,48.0,180.0,131.0,184.0,272.0,469.0,700.0,38.0,A,23,8722,0.0
67.0,265,가동,731.0,119,121,110.0,112.0,329.0,54.0,207.0,191.0,277.0,189.0,473.0,694.0,31.0,A,23,8917,0.0
-1.0,316,가동,732.0,116,119,110.0,111.0,322.0,50.0,222.0,163.0,134.0,218.0,187.0,727.0,32.0,A,6,8412,0.0
76.0,134,가동,729.0,116,118,100.0,101.0,330.0,49.0,239.0,181.0,262.0,167.0,557.0,703.0,33.0,A,23,8722,0.0
51.0,87,가동,718.0,118,119,110.0,112.0,330.0,50.0,176.0,123.0,272.0,198.0,486.0,702.0,35.0,A,23,8722,0.0
-1.0,81,가동,714.0,122,121,110.0,112.0,331.0,53.0,231.0,200.0,153.0,219.0,479.0,713.0,33.0,A,23,8573,0.0
62.0,310,가동,707.0,121,123,110.0,112.0,331.0,44.0,174.0,127.0,301.0,185.0,463.0,707.0,37.0,A,23,8722,0.0
-1.0,133,가동,713.0,117,118,110.0,113.0,331.0,54.0,103.0,167.0,220.0,146.0,475.0,707.0,33.0,A,23,8917,0.0
-1.0,90,가동,730.0,122,124,100.0,102.0,324.0,53.0,250.0,159.0,212.0,199.0,513.0,705.0,34.0,A,23,8412,0.0
-1.0,56,가동,731.0,117,117,110.0,112.0,332.0,55.0,230.0,123.0,126.0,208.0,181.0,711.0,33.0,A,6,8412,0.0
71.0,291,가동,719.0,115,117,110.0,112.0,329.0,48.0,182.0,181.0,264.0,178.0,433.0,703.0,31.0,A,23,8917,0.0
-1.0,114,가동,728.0,114,117,110.0,112.0,321.0,49.0,216.0,149.0,124.0,207.0,176.0,719.0,32.0,A,6,8412,0.0
-1.0,112,가동,707.6027529582226,118,121,140.0,144.0,333.0,50.0,182.0,143.0,167.0,247.0,518.0,686.0,34.0,A,23,8412,0.0
-1.0,297,가동,729.0,115,116,110.0,113.0,321.0,51.0,226.0,162.0,136.0,221.0,184.0,722.0,34.0,A,6,8412,0.0
-1.0,10,가동,711.0,115,117,110.0,112.0,331.0,54.0,103.0,152.0,211.0,139.0,476.0,711.0,30.0,A,23,8917,0.0
77.0,294,가동,720.0,117,118,110.0,112.0,330.0,45.0,180.0,128.0,274.0,190.0,491.0,704.0,39.0,A,23,8722,0.0
-1.0,224,가동,710.0,117,135,110.0,112.0,332.0,57.0,102.0,156.0,214.0,139.0,490.0,694.0,31.0,A,23,8917,0.0
107.0,260,가동,725.0,149,123,105.0,107.0,324.0,44.0,201.0,179.0,216.0,246.0,463.0,690.0,31.0,A,23,8722,0.0
93.0,141,가동,708.0,119,121,110.0,112.0,329.0,47.0,194.0,186.0,264.0,185.0,446.0,701.0,30.0,A,23,8917,0.0
41.0,152,가동,730.0,122,123,110.0,112.0,330.0,47.0,166.0,122.0,170.0,219.0,466.0,706.0,31.0,A,23,8722,0.0
-1.0,280,가동,732.0,122,122,110.0,112.0,313.0,48.0,206.0,161.0,127.0,202.0,390.0,715.0,33.0,A,6,8412,0.0
-1.0,56,가동,702.0,121,122,110.0,112.0,330.0,53.0,183.0,183.0,177.0,265.0,477.0,709.0,32.0,A,3,8917,0.0
56.0,42,가동,729.0,123,123,110.0,112.0,331.0,49.0,165.0,115.0,245.0,281.0,489.0,705.0,34.0,A,23,8722,0.0
-1.0,234,가동,730.0,116,117,110.0,112.0,333.0,50.0,227.0,162.0,135.0,226.0,180.0,717.0,34.0,A,6,8412,0.0
-1.0,139,가동,731.0,120,140,110.0,111.0,314.0,53.0,191.0,128.0,117.0,198.0,377.0,733.0,33.0,A,6,8412,0.0
-1.0,97,가동,712.0,120,121,110.0,112.0,331.0,54.0,102.0,172.0,233.0,146.0,499.0,703.0,32.0,A,23,8917,0.0
-1.0,220,가동,731.0,121,118,110.0,112.0,323.0,56.0,234.0,159.0,127.0,212.0,192.0,705.0,38.0,A,6,8412,0.0
36.0,89,가동,731.0,155,128,105.0,107.0,325.0,50.0,184.0,156.0,270.0,275.0,414.0,690.0,33.0,A,23,8722,0.0
101.0,201,가동,712.0,116,121,110.0,112.0,329.0,49.0,184.0,183.0,266.0,181.0,426.0,703.0,31.0,A,23,8917,0.0
-1.0,78,가동,731.0,117,117,110.0,112.0,314.0,55.0,217.0,122.0,123.0,202.0,408.0,705.0,34.0,A,6,8412,0.0
76.0,146,가동,728.0,119,126,105.0,106.0,325.0,53.0,115.0,172.0,196.0,193.0,324.0,657.0,34.0,A,23,8722,0.0
-1.0,85,가동,732.0,126,126,100.0,102.0,331.0,51.0,184.0,154.0,204.0,161.0,467.0,689.0,34.0,A,3,8917,0.0
63.0,109,가동,729.0,124,126,104.0,107.0,325.0,51.0,202.0,177.0,225.0,258.0,477.0,685.0,33.0,A,23,8722,0.0
-1.0,69,가동,713.0,119,121,110.0,113.0,332.0,56.0,231.0,197.0,152.0,218.0,478.0,709.0,32.0,A,23,8573,0.0
-1.0,153,가동,713.0,118,120,110.0,112.0,331.0,56.0,103.0,165.0,227.0,145.0,492.0,716.0,31.0,A,23,8917,0.0
50.0,15,가동,728.0,120,122,109.0,112.0,329.0,47.0,220.0,169.0,234.0,166.0,593.0,703.0,28.0,A,23,8722,0.0
92.0,189,가동,711.0,118,121,115.0,117.0,324.0,50.0,224.0,197.0,156.0,174.0,509.0,689.0,31.0,A,23,8600,0.0
-1.0,83,가동,712.0,212,125,110.0,112.0,333.0,53.0,203.0,176.0,144.0,188.0,463.0,711.0,31.0,A,23,8573,0.0
29.0,251,가동,719.0,118,119,110.0,112.0,331.0,54.0,181.0,129.0,274.0,201.0,484.0,707.0,38.0,A,23,8722,0.0
-1.0,294,가동,714.0,121,123,110.0,112.0,330.0,54.0,103.0,179.0,225.0,150.0,479.0,714.0,34.0,A,23,8917,0.0
99.0,291,가동,718.0,118,138,105.0,107.0,324.0,46.0,120.0,182.0,198.0,195.0,354.0,657.0,33.0,A,23,8722,0.0
43.0,16,가동,723.0,115,117,110.0,112.0,329.0,49.0,155.0,166.0,228.0,162.0,407.0,702.0,29.0,A,23,8917,0.0
-1.0,9,가동,711.0,119,119,110.0,112.0,331.0,53.0,102.0,151.0,170.0,136.0,480.0,711.0,29.0,A,23,8917,0.0
61.0,4,가동,730.0,118,80,100.0,106.0,325.0,53.0,60.0,86.0,96.0,82.0,217.0,650.0,24.0,D,23,8722,1.0
36.0,245,가동,728.0,122,123,110.0,112.0,330.0,46.0,168.0,122.0,173.0,235.0,482.0,705.0,30.0,A,23,8722,0.0
-1.0,25,가동,715.0,123,123,110.0,112.0,157.0,52.0,86.0,133.0,207.0,121.0,454.0,714.0,30.0,A,23,8917,1.0
55.0,98,가동,731.0,116,119,110.0,112.0,329.0,53.0,178.0,179.0,256.0,179.0,426.0,702.0,29.0,A,23,8917,0.0
62.0,269,가동,721.0,133,133,110.0,112.0,330.0,45.0,172.0,124.0,260.0,193.0,488.0,697.0,38.0,A,23,8722,0.0
79.0,61,가동,730.0,116,120,105.0,109.0,325.0,51.0,206.0,175.0,219.0,253.0,371.0,669.0,33.0,A,23,8722,0.0
96.0,172,가동,727.0,116,118,100.0,101.0,331.0,36.0,206.0,177.0,222.0,148.0,570.0,705.0,34.0,A,23,8722,0.0
-1.0,2,가동,709.0,114,119,110.0,112.0,333.0,53.0,127.0,134.0,162.0,134.0,475.0,703.0,27.0,A,23,8412,0.0
-1.0,13,가동,709.0,143,117,110.0,112.0,331.0,48.0,96.0,123.0,134.0,122.0,466.0,704.0,30.0,A,23,8917,0.0
66.0,295,가동,708.0,119,122,110.0,112.0,333.0,52.0,162.0,141.0,126.0,145.0,496.0,688.0,33.0,A,23,8412,0.0
-1.0,64,가동,729.0,123,124,110.0,112.0,331.0,53.0,230.0,196.0,211.0,202.0,521.0,708.0,31.0,A,23,8573,0.0
40.0,45,가동,708.0,127,120,115.0,118.0,325.0,50.0,291.0,169.0,258.0,211.0,504.0,694.0,32.0,A,23,8600,0.0
-1.0,183,가동,732.0,118,119,110.0,112.0,331.0,53.0,242.0,201.0,217.0,216.0,576.0,710.0,32.0,A,23,8573,0.0
-1.0,300,가동,733.0,118,120,110.0,114.0,331.0,52.0,235.0,209.0,238.0,215.0,477.0,707.0,32.0,A,23,8573,0.0
-1.0,237,가동,709.0,119,119,110.0,112.0,331.0,51.0,103.0,182.0,235.0,150.0,477.0,711.0,34.0,A,23,8917,0.0
-1.0,155,가동,729.0,120,121,100.0,101.0,325.0,53.0,245.0,153.0,208.0,184.0,477.0,708.0,34.0,A,3,8917,0.0
83.0,172,가동,728.0,119,122,110.0,112.0,329.0,38.0,213.0,192.0,292.0,191.0,479.0,700.0,29.0,A,23,8917,0.0
78.0,105,가동,731.0,155,123,105.0,107.0,324.0,46.0,200.0,175.0,211.0,242.0,443.0,690.0,31.0,A,23,8722,0.0
-1.0,87,가동,729.0,118,135,100.0,102.0,326.0,51.0,259.0,159.0,213.0,198.0,501.0,691.0,35.0,A,23,8412,0.0
50.0,91,가동,708.0,140,138,115.0,117.0,325.0,55.0,224.0,164.0,250.0,201.0,496.0,694.0,33.0,A,23,8600,0.0
-1.0,108,가동,711.0,149,77,109.0,112.0,162.0,54.0,77.0,95.0,156.0,67.0,405.0,703.0,31.0,A,23,8573,1.0
-1.0,226,가동,715.0,119,120,110.0,112.0,331.0,55.0,224.0,190.0,98.0,195.0,569.0,715.0,30.0,A,23,8573,0.0
44.0,307,가동,719.0,120,122,110.0,112.0,330.0,49.0,181.0,132.0,279.0,204.0,486.0,708.0,39.0,A,23,8722,0.0
-1.0,98,가동,733.0,119,123,110.0,113.0,324.0,54.0,233.0,204.0,235.0,211.0,477.0,719.0,31.0,A,23,8573,0.0
-1.0,220,가동,713.0,119,119,110.0,112.0,335.0,56.0,211.0,170.0,147.0,223.0,450.0,700.0,33.0,A,3,8917,0.0
32.0,17,가동,731.0,118,121,110.0,111.0,330.0,51.0,170.0,122.0,180.0,256.0,488.0,703.0,33.0,A,23,8722,0.0
69.0,160,가동,721.0,122,123,110.0,112.0,330.0,40.0,175.0,130.0,301.0,187.0,482.0,704.0,38.0,A,23,8722,0.0
46.0,112,가동,726.0,118,81,110.0,112.0,329.0,53.0,184.0,182.0,259.0,182.0,432.0,703.0,30.0,A,23,8917,0.0
48.0,102,가동,730.0,116,117,110.0,112.0,329.0,51.0,188.0,181.0,270.0,181.0,423.0,698.0,31.0,A,23,8917,0.0
-1.0,148,가동,710.0,114,115,110.0,112.0,331.0,52.0,102.0,179.0,244.0,143.0,484.0,711.0,34.0,A,23,8917,0.0
55.0,255,가동,730.0,214,119,105.0,106.0,325.0,48.0,197.0,167.0,200.0,251.0,460.0,667.0,32.0,A,23,8722,0.0
-1.0,10,가동,710.0,116,116,110.0,112.0,333.0,55.0,103.0,152.0,223.0,136.0,481.0,701.0,29.0,A,23,8917,0.0
-1.0,109,가동,730.0,113,121,110.0,112.0,321.0,56.0,227.0,161.0,136.0,227.0,193.0,734.0,34.0,A,6,8412,0.0
-1.0,180,가동,732.0,121,126,110.0,112.0,331.0,55.0,232.0,200.0,214.0,207.0,528.0,705.0,32.0,A,23,8573,0.0
-1.0,290,가동,729.0,119,120,110.0,112.0,322.0,50.0,221.0,163.0,134.0,217.0,187.0,721.0,33.0,A,6,8412,0.0
-1.0,63,가동,707.6027529582226,117,120,140.0,144.0,333.0,47.0,183.0,145.0,170.0,153.0,510.0,711.0,30.0,A,23,8412,0.0
100.0,152,가동,716.0,118,119,105.0,106.0,324.0,43.0,208.0,178.0,222.0,245.0,415.0,666.0,32.0,A,23,8722,0.0
-1.0,87,가동,731.0,121,122,110.0,112.0,331.0,54.0,230.0,186.0,201.0,201.0,540.0,697.0,31.0,A,23,8573,0.0
37.0,94,가동,730.0,149,118,110.0,112.0,329.0,51.0,164.0,175.0,238.0,169.0,405.0,700.0,29.0,A,23,8917,0.0
-1.0,58,가동,714.0,125,124,110.0,113.0,331.0,57.0,232.0,194.0,157.0,212.0,477.0,705.0,32.0,A,23,8573,0.0
-1.0,106,가동,714.0,121,120,110.0,114.0,331.0,52.0,136.0,164.0,220.0,70.0,480.0,712.0,33.0,A,23,8917,0.0
38.0,241,가동,729.0,133,121,105.0,107.0,325.0,51.0,196.0,175.0,207.0,249.0,540.0,690.0,34.0,A,23,8722,0.0
67.0,134,가동,719.0,120,122,110.0,112.0,330.0,49.0,180.0,160.0,276.0,201.0,487.0,707.0,39.0,A,23,8722,0.0
5.0,207,가동,722.1659846128663,135,137,105.0,106.0,324.0,46.0,186.0,159.0,194.0,232.0,444.0,690.0,31.0,A,23,8722,0.0
-1.0,183,가동,732.0,121,122,110.0,112.0,330.0,55.0,236.0,208.0,235.0,216.0,479.0,702.0,31.0,A,23,8573,0.0
-1.0,203,가동,712.0,119,120,110.0,112.0,331.0,52.0,102.0,186.0,255.0,152.0,483.0,715.0,35.0,A,23,8917,0.0
-1.0,8,가동,731.0,122,123,110.0,112.0,330.0,56.0,226.0,180.0,216.0,191.0,477.0,698.0,27.0,A,23,8573,0.0
90.0,184,가동,731.0,119,122,105.0,107.0,324.0,49.0,204.0,184.0,211.0,259.0,461.0,688.0,33.0,A,23,8722,0.0
42.0,133,가동,720.0,122,122,100.0,101.0,330.0,44.0,178.0,122.0,184.0,271.0,498.0,704.0,33.0,A,23,8722,0.0
104.0,99,가동,722.0,117,120,104.0,111.0,325.0,47.0,136.0,93.0,97.0,94.0,1276.0,660.0,32.0,D,23,8722,1.0
71.0,112,가동,729.0,127,121,105.0,107.0,325.0,49.0,201.0,182.0,215.0,250.0,459.0,686.0,30.0,A,23,8722,0.0
76.0,7,가동,729.0,115,120,110.0,112.0,330.0,51.0,142.0,160.0,201.0,153.0,403.0,707.0,25.0,D,23,8917,1.0
100.0,86,가동,718.0,118,126,105.0,107.0,325.0,48.0,121.0,184.0,200.0,192.0,374.0,654.0,33.0,A,23,8722,0.0
56.0,219,가동,711.0,118,120,110.0,112.0,333.0,48.0,153.0,161.0,129.0,141.0,500.0,699.0,29.0,A,23,8412,0.0
31.0,59,가동,730.0,143,122,105.0,107.0,331.0,45.0,198.0,135.0,155.0,202.0,531.0,687.0,28.0,A,23,8917,0.0
81.0,210,가동,713.0,115,118,110.0,112.0,329.0,52.0,182.0,182.0,259.0,178.0,419.0,697.0,29.0,A,23,8917,0.0
96.0,3,가동,727.0,118,120,108.0,112.0,168.0,51.0,97.0,146.0,135.0,167.0,223.0,698.0,26.0,D,23,8917,1.0
69.0,156,가동,729.0,116,163,105.0,107.0,325.0,52.0,196.0,165.0,208.0,246.0,377.0,651.0,33.0,A,23,8722,0.0
46.0,172,가동,729.0,124,124,105.0,106.0,325.0,49.0,119.0,174.0,200.0,190.0,357.0,654.0,33.0,A,23,8722,0.0
86.0,262,가동,723.0,122,122,100.0,102.0,331.0,41.0,177.0,119.0,182.0,265.0,506.0,703.0,32.0,A,23,8722,0.0
-1.0,157,가동,707.6027529582226,118,121,140.0,144.0,333.0,49.0,195.0,149.0,170.0,251.0,515.0,702.0,39.0,A,23,8412,0.0
-1.0,166,가동,728.0,121,119,110.0,112.0,313.0,56.0,216.0,163.0,130.0,205.0,401.0,730.0,33.0,A,6,8412,0.0
-1.0,112,가동,721.0,115,135,100.0,102.0,333.0,47.0,248.0,156.0,190.0,190.0,563.0,715.0,33.0,A,23,8412,0.0
-1.0,164,가동,713.0,116,117,110.0,216.0,331.0,27.0,102.0,183.0,258.0,146.0,484.0,703.0,32.0,A,23,8917,1.0
91.0,34,가동,712.0,119,119,100.0,101.0,331.0,42.0,232.0,171.0,253.0,159.0,511.0,704.0,30.0,A,23,8722,0.0
-1.0,68,가동,731.0,118,119,110.0,112.0,313.0,56.0,216.0,153.0,129.0,215.0,387.0,709.0,32.0,A,6,8412,0.0
26.0,45,가동,729.0,122,122,100.0,102.0,331.0,47.0,164.0,119.0,164.0,264.0,509.0,700.0,30.0,A,23,8722,0.0
68.0,113,가동,713.0,121,124,110.0,115.0,330.0,46.0,171.0,127.0,174.0,261.0,455.0,702.0,35.0,A,23,8722,0.0
60.0,122,가동,721.0,122,122,100.0,101.0,331.0,44.0,175.0,118.0,178.0,264.0,500.0,702.0,32.0,A,23,8722,0.0
-1.0,93,가동,729.0,116,122,110.0,112.0,331.0,53.0,182.0,169.0,102.0,184.0,472.0,703.0,33.0,A,23,8573,0.0
-1.0,56,가동,731.0,120,122,110.0,112.0,333.0,55.0,230.0,181.0,224.0,202.0,480.0,706.0,31.0,A,23,8573,0.0
-1.0,267,가동,730.0,116,117,100.0,103.0,326.0,49.0,130.0,158.0,218.0,195.0,490.0,707.0,32.0,A,3,8412,0.0
-1.0,157,가동,732.0,125,121,110.0,112.0,319.0,56.0,214.0,121.0,131.0,215.0,418.0,689.0,33.0,A,6,8412,0.0
-1.0,2,가동,713.0,116,83,107.0,112.0,186.0,53.0,78.0,68.0,103.0,103.0,482.0,709.0,24.0,A,23,8917,1.0
27.0,67,가동,711.0,134,130,114.0,117.0,325.0,50.0,210.0,189.0,146.0,162.0,500.0,690.0,31.0,A,23,8600,0.0
28.0,163,가동,731.0,118,120,110.0,112.0,330.0,40.0,179.0,128.0,185.0,271.0,487.0,686.0,37.0,A,23,8722,0.0
-1.0,14,가동,713.0,119,120,110.0,113.0,332.0,57.0,102.0,155.0,218.0,139.0,488.0,713.0,29.0,A,23,8917,0.0
